normal, 0
neptune, 1
warezclient, 2
ipsweep, 3
portsweep, 4
teardrop, 5
nmap, 6
satan, 7
smurf, 8
pod, 9
back, 10
guess_passwd, 11
ftp_write, 12
multihop, 13
rootkit, 14
buffer_overflow, 15
imap, 16
warezmaster, 17
phf, 18
land, 19
loadmodule, 20
spy, 21
saint, 22
mscan, 23
apache2, 24
snmpgetattack, 25
processtable, 26
httptunnel, 27
ps, 28
snmpguess, 29
mailbomb, 30
named, 31
sendmail, 32
xterm, 33
worm, 34
xlock, 35
perl, 36
xsnoop, 37
sqlattack, 38
udpstorm, 39